,Name,FixedByID,count
136,area-healthchecks,unknown,5
137,area-hosting,unknown,29
138,area-hosting| area-mvc| question,unknown,1
139,area-hosting| breaking-change,davidfowl,1
140,area-hosting| bug| good first issue| help wanted,unknown,1
141,area-hosting| enhancement,tratcher,1
142,area-hosting| enhancement,unknown,2
143,area-hosting| epic,anurse| glennc,1
144,area-hosting| question,unknown,2
145,area-httpclientfactory,unknown,1
146,area-identity,ajcvickers,1
147,area-identity,haok,4
148,area-identity,unknown,41
149,area-identity| area-mvc,unknown,1
150,area-identity| area-security,unknown,2
151,area-identity| area-security| question,haok,1
152,area-identity| blocked| identity-service,unknown,1
153,area-identity| bug,haok,1
154,area-identity| bug| good first issue,haok,1
155,area-identity| bug| identity-service,unknown,1
156,area-identity| closed no-repro,unknown,1
157,area-identity| discussion,haok,2
158,area-identity| discussion,unknown,1
159,area-identity| enhancement,ajcvickers,1
160,area-identity| enhancement,haok,2
161,area-identity| enhancement,unknown,5
162,area-identity| enhancement| identity-service,unknown,1
163,area-identity| feedback| question,unknown,1
164,area-identity| identity-service,unknown,13
165,area-identity| identity-service| investigate,javiercn,2
166,area-identity| identity-ui,unknown,5
167,area-identity| question,haok,3
168,area-identity| question,unknown,5
169,area-infrastructure,anurse,1
170,area-infrastructure,anurse| mkartakmsft,1
171,area-infrastructure,brennanconroy,1
172,area-infrastructure,davidfowl,1
173,area-infrastructure,dougbu,1
174,area-infrastructure,haok,2
175,area-infrastructure,jamesnk| juntaoluo,1
176,area-infrastructure,jkotalik,2
177,area-infrastructure,juntaoluo,1
178,area-infrastructure,natemcmaster,3
179,area-infrastructure,pilchie,1
180,area-infrastructure,unknown,19
181,area-infrastructure,wtgodbe,1
182,area-infrastructure| area-platform,unknown,1
183,area-infrastructure| area-signalr,unknown,1
184,area-infrastructure| bug,ajaybhargavb,1
185,area-infrastructure| cost m,juntaoluo,1
186,area-infrastructure| cost m,natemcmaster,1
187,area-infrastructure| cost m| servers-iis,dougbu,1
188,area-infrastructure| question,unknown,1
189,area-infrastructure| task,tratcher,1
190,area-infrastructure| test-failure,unknown,1
191,area-infrastructure| test-failure,wtgodbe,1
192,area-installers,joeloff,1
193,area-installers,unknown,2
194,area-installers| servers-iis,unknown,1
195,area-middleware,jamesnk,2
196,area-middleware,shirhatti,1
197,area-middleware,unknown,18
198,area-middleware| area-security,unknown,1
199,area-middleware| breaking-change| bug| cost xs,unknown,1
200,area-middleware| breaking-change| feature-session,unknown,1
201,area-middleware| breaking-change| feature-staticfiles,unknown,1
202,area-middleware| bug,unknown,1
203,area-middleware| clean-up| diagnostics| good first issue| help wanted,unknown,1
204,area-middleware| diagnostics,unknown,1
205,area-middleware| enhancement| feature-session,unknown,1
206,area-middleware| feature-responsecaching| question,unknown,1
207,area-middleware| feature-session,unknown,7
208,area-middleware| feature-staticfiles,anurse,1
209,area-middleware| feature-staticfiles,unknown,4
210,area-middleware| feature-staticfiles| help wanted,unknown,1
211,area-middleware| investigate,unknown,1
212,area-mvc,ajaybhargavb,1
213,area-mvc,danroth27,1
214,area-mvc,jamesnk,4
215,area-mvc,natemcmaster,1
216,area-mvc,pranavkm,2
217,area-mvc,ryanbrandenburg,1
218,area-mvc,ryanbrandenburg| ryanbrandenburg,1
219,area-mvc,unknown,138
220,area-mvc| area-security| discussion,unknown,1
221,area-mvc| blocked| cost s| enhancement,ryanbrandenburg,1
222,area-mvc| blocked| cost s| task,pranavkm,1
223,area-mvc| blocked| task,unknown,1
224,area-mvc| breaking-change| bug,unknown,1
225,area-mvc| breaking-change| enhancement,unknown,3
226,area-mvc| breaking-change| feature-spa,unknown,1
227,area-mvc| bug,ajaybhargavb,2
228,area-mvc| bug,jamesnk,1
229,area-mvc| bug,javiercn,2
230,area-mvc| bug,ntaylormullen,1
231,area-mvc| bug,pranavkm,4
232,area-mvc| bug,unknown,9
233,area-mvc| bug| cost s,ntaylormullen,1
234,area-mvc| bug| cost s,pranavkm,1
235,area-mvc| bug| cost s,ryanbrandenburg,1
236,area-mvc| bug| cost s| feature-razor-pages,ajaybhargavb,1
237,area-mvc| bug| cost s| feature-razor-pages,ntaylormullen,1
238,area-mvc| bug| cost s| help wanted,jamesnk,1
239,area-mvc| bug| cost xs,ajaybhargavb,1
240,area-mvc| bug| feature-razor-pages,ajaybhargavb,1
241,area-mvc| bug| feature-razor-pages,unknown,9
242,area-mvc| bug| feature-razor-pages| help wanted,unknown,2
243,area-mvc| bug| feature-spa,ryanbrandenburg,1
244,area-mvc| bug| feature-spa,unknown,1
245,area-mvc| bug| help wanted,unknown,4
246,area-mvc| closed no-repro| investigate,ntaylormullen,1
247,area-mvc| cost 0| enhancement,ryanbrandenburg,1
248,area-mvc| cost m| enhancement,ntaylormullen,2
249,area-mvc| cost m| enhancement,unknown,2
250,area-mvc| cost m| enhancement| help wanted,unknown,1
251,area-mvc| cost m| feature-razor-pages| task,unknown,1
252,area-mvc| cost m| task,danroth27,1
253,area-mvc| cost m| task| test-failure,ryanbrandenburg,1
254,area-mvc| cost s,jamesnk,2
255,area-mvc| cost s,unknown,1
256,area-mvc| cost s| enhancement,javiercn,1
257,area-mvc| cost s| enhancement,unknown,3
258,area-mvc| cost s| enhancement| feature-razor-pages| help wanted,ntaylormullen,1
259,area-mvc| cost s| feature-code-generation,dougbu,1
260,area-mvc| cost xs,jamesnk,1
261,area-mvc| cost xs,unknown,1
262,area-mvc| cost xs| task,unknown,1
263,area-mvc| diagnostics,javiercn,1
264,area-mvc| diagnostics,unknown,3
265,area-mvc| discussion,unknown,4
266,area-mvc| enhancement,jamesnk,1
267,area-mvc| enhancement,javiercn,3
268,area-mvc| enhancement,ntaylormullen,1
269,area-mvc| enhancement,pranavkm,1
270,area-mvc| enhancement,ryanbrandenburg,1
271,area-mvc| enhancement,stevesandersonms,1
272,area-mvc| enhancement,unknown,23
273,area-mvc| enhancement| feature-jsonpatch| help wanted,unknown,1
274,area-mvc| enhancement| feature-razor-pages,ntaylormullen,2
275,area-mvc| enhancement| feature-razor-pages,unknown,3
276,area-mvc| enhancement| feature-spa,unknown,1
277,area-mvc| enhancement| feature-spa| help wanted,ryanbrandenburg,1
278,area-mvc| enhancement| feature| feature-razor-pages,unknown,1
279,area-mvc| enhancement| help wanted,unknown,5
280,area-mvc| feature-jsonpatch,unknown,1
281,area-mvc| feature-model-binding| investigate,unknown,1
282,area-mvc| feature-model-binding| question,dougbu,1
283,area-mvc| feature-razor-pages,unknown,2
284,area-mvc| feature-razor-pages| help wanted,unknown,1
285,area-mvc| feature-razor-pages| investigate,javiercn,1
286,area-mvc| feature-razor-pages| task,unknown,3
287,area-mvc| feature-routing| investigate,unknown,1
288,area-mvc| feature-routing| question,javiercn,1
289,area-mvc| feature-routing| question,pranavkm,1
290,area-mvc| feature-spa,unknown,29
291,area-mvc| feature-spa| investigate,unknown,1
292,area-mvc| feature-spa| question,glennc,1
293,area-mvc| feature-spa| question,unknown,8
294,area-mvc| feature-spa| task,unknown,1
295,area-mvc| feature| feature-razor-pages,unknown,2
296,area-mvc| help wanted,cmeeren,1
297,area-mvc| identity-service| investigate,javiercn,3
298,area-mvc| investigate,ajaybhargavb,1
299,area-mvc| investigate,jamesnk,5
300,area-mvc| investigate,javiercn,6
301,area-mvc| investigate,ntaylormullen,2
302,area-mvc| investigate,pranavkm,12
303,area-mvc| investigate,ryanbrandenburg,3
304,area-mvc| investigate,unknown,6
305,area-mvc| investigate| question,unknown,1
306,area-mvc| question,danroth27,2
307,area-mvc| question,jamesnk,2
