train_method,loss_type,model_type,code_format,proj_name,epoch,res1,res2
NaiveTraining,BCE, Bert,raw,exp2:combined_dataset,5,0.0,0.16378300919591265
NaiveTraining,BCE, Bert,raw,exp2:combined_dataset,10,0.00022935712071781733,0.2096425490629807
NaiveTraining,SBCE, Bert,raw,exp2:combined_dataset,5,0.0,0.08762345095386352
NaiveTraining,SBCE, Bert,raw,exp2:combined_dataset,10,0.04908248907961261,0.2473911042077788
NaiveTraining,ASL, Bert,raw,exp2:combined_dataset,5,0.11812570523691149,0.40361123208062727
NaiveTraining,ASL, Bert,raw,exp2:combined_dataset,10,0.14056632324915844,0.4192161820470207
